game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,cumulative_batters,cumulative_pitchers,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won,home_spread,away_spread,model_home_cover_prob,model_away_cover_prob,market_home_cover_nv,market_away_cover_nv,best_home_spread_odds,best_away_spread_odds,home_spread_edge,away_spread_edge,spread_bet_side,spread_bet_odds,spread_bet_edge,spread_bet_fraction,spread_bet_stake,spread_bet_profit,spread_bet_won
778551,2025-03-27,STL,MIN,St. Louis Cardinals,Minnesota Twins,0.5986541011086186,0.4013458988913814,7.934,4.198766961859159,True,5,3,0.53,0.6673082022172372,9,9,543243,641154,2025,2360,2011,7.5,0.476,0.524,0.48071979434447304,0.519280205655527,-102.0,-120.0,fanduel,fanduel,-0.00111133151515741,0.00111133151515741,,,,0.0,0.0,0.0,,0.7848728384099902,0.4910905203136137,0.5089094796863862,-104.0,-112.0,fanduel,fanduel,,,0.03810580836108013,0.07598135967130598,-0.07598135967130598,0.11233330304734257,-0.18052891568574092,home,-104.0,0.07598135967130598,0.029206658792309066,292.07,280.84,1.0,1.5,-1.5,0.659,0.341,0.6201583565161567,0.37984164348384336,-184.0,152.0,0.027437175872705666,-0.02743717587270572,,,,0.0,0.0,0.0,
778546,2025-03-27,LAD,DET,Los Angeles Dodgers,Detroit Tigers,0.5968266921477388,0.40317330785226124,7.217,3.6570358215363434,True,5,4,0.613,0.5806533842954775,9,9,605483,669373,2025,2360,2011,6.5,0.529,0.471,0.5279042320013488,0.47209576799865116,-124.0,102.0,fanduel,fanduel,0.0003287303995953561,-0.0003287303995953561,,,,0.0,0.0,0.0,,1.0,0.593369754159424,0.40663024584057605,-162.0,136.0,fanduel,fanduel,,,0.042049424246344946,0.0031112441894832754,-0.003111244189483331,-0.03532085452213768,-0.04769515610342101,,,,0.0,0.0,0.0,,-1.5,1.5,0.401,0.599,0.4086853434828726,0.5913146565171273,134.0,-162.0,-0.006916809134585311,0.006916809134585367,,,,0.0,0.0,0.0,
778552,2025-03-27,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,0.5226041746601017,0.4773958253398983,8.454,4.32456749282515,False,6,10,0.48100000000000004,0.5642083493202033,9,9,668678,657006,2025,2360,2011,8.5,0.456,0.544,0.4850248160191682,0.5149751839808318,-104.0,-118.0,fanduel,fanduel,-0.008707444805750475,0.008707444805750475,,,,0.0,0.0,0.0,,1.0,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,-0.01292128132418413,0.012921281324184186,-0.06005546663323419,-0.01000293497682292,,,,0.0,0.0,0.0,,-1.5,1.5,0.316,0.684,0.36231884057971014,0.6376811594202898,164.0,-200.0,-0.04168695652173915,0.04168695652173926,,,,0.0,0.0,0.0,
778547,2025-03-27,SEA,Athletics,Seattle Mariners,Athletics,0.6137782654113244,0.3862217345886756,6.357,3.5442278425631724,True,4,2,0.65,0.5775565308226489,9,9,669302,622663,2025,2360,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778560,2025-03-28,TBR,COL,Tampa Bay Rays,Colorado Rockies,0.6143005732662071,0.38569942673379287,8.11,4.027145390968645,True,3,2,0.631,0.5976011465324143,9,9,686752,607536,2025,2360,2011,8.5,0.423,0.577,0.5108342361863488,0.4891657638136511,-115.0,-105.0,fanduel,fanduel,-0.026350270855904634,0.026350270855904634,,,,0.0,0.0,0.0,,1.0,0.6955128205128205,0.3044871794871795,-280.0,210.0,fanduel,fanduel,,,0.05942275042444822,-0.07309102252195199,0.07309102252195204,-0.15528470272667844,0.17049242622830796,away,210.0,0.07309102252195204,0.0202967174081319,202.97,-202.97,0.0,-1.5,1.5,0.446,0.554,0.3246753246753247,0.6753246753246753,188.0,-260.0,0.10919220779220778,-0.10919220779220773,,,,0.0,0.0,0.0,
778549,2025-03-28,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,0.5098271531293825,0.49017284687061746,9.046,4.208786523453048,True,8,2,0.599,0.420654306258765,9,9,592332,450203,2025,2360,2011,8.5,0.526,0.474,0.5043297540699688,0.4956702459300312,-112.0,-108.0,fanduel,fanduel,0.006501073779009325,-0.006501073779009381,,,,0.0,0.0,0.0,,1.0,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,-0.024420600701831385,0.024420600701831385,-0.08068122996139515,0.013915649328683277,,,,0.0,0.0,0.0,,-1.5,1.5,0.424,0.576,0.3682364729458918,0.6317635270541082,160.0,-194.0,0.05018717434869735,-0.05018717434869746,,,,0.0,0.0,0.0,
778548,2025-03-28,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.5115036619305079,0.4884963380694921,7.97,4.319155009952756,False,3,4,0.48200000000000004,0.5410073238610158,9,9,687362,656605,2025,2360,2011,8.0,0.439312567132116,0.560687432867884,0.5149751839808318,0.4850248160191682,-118.0,-104.0,fanduel,fanduel,-0.019128994859263948,0.019128994859263948,,,,0.0,0.0,0.0,,0.8427321027640197,0.4328697133125177,0.5671302866874823,122.0,-144.0,fanduel,fanduel,,,0.04061438487668001,0.05964061758072908,-0.05964061758072914,0.09337293458300777,-0.14008694956911266,,,,0.0,0.0,0.0,,1.5,-1.5,0.628,0.372,0.5612444702298934,0.4387555297701066,-142.0,118.0,0.0506313251768592,-0.050631325176859254,,,,0.0,0.0,0.0,
778550,2025-03-28,TEX,BOS,Texas Rangers,Boston Red Sox,0.42202235888107464,0.5779776411189254,9.612,4.536458530616145,True,4,1,0.321,0.5230447177621492,9,9,683004,656557,2025,2360,2011,9.0,0.5153846153846153,0.4846153846153846,0.5,0.5,-110.0,-110.0,fanduel,fanduel,0.004615384615384577,-0.004615384615384632,,,,0.0,0.0,0.0,,1.0,0.4846032025338729,0.5153967974661271,-102.0,-116.0,fanduel,fanduel,,,0.041987532086542156,-0.056322759287518454,0.0563227592875184,-0.15183676925721956,0.06458124361023643,,,,0.0,0.0,0.0,,1.5,-1.5,0.433,0.567,0.6028037383177569,0.397196261682243,-172.0,140.0,-0.15282336448598122,0.15282336448598122,,,,0.0,0.0,0.0,
778518,2025-03-28,HOU,NYM,Houston Astros,New York Mets,0.5349254854852866,0.4650745145147134,8.655,4.277847005211851,False,1,3,0.529,0.5408509709705732,9,9,686613,656731,2025,2360,2011,8.0,0.5227272727272727,0.4772727272727273,0.519280205655527,0.48071979434447304,-120.0,-102.0,fanduel,fanduel,0.0010341201215237072,-0.0010341201215237072,,,,0.0,0.0,0.0,,1.0,0.5198237885462554,0.48017621145374456,-118.0,100.0,fanduel,fanduel,,,0.041284403669724856,0.013591527245128021,-0.013591527245128077,-0.014537806419308519,-0.06683063158276698,,,,0.0,0.0,0.0,,-1.5,1.5,0.349,0.651,0.6173677069199457,0.38263229308005425,-182.0,150.0,-0.2415309362279512,0.24153093622795124,,,,0.0,0.0,0.0,
778543,2025-03-28,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,0.527521208453682,0.472478791546318,8.675,4.283150125783592,True,8,1,0.523,0.532042416907364,9,9,518876,592791,2025,2360,2011,9.0,0.41899441340782123,0.5810055865921788,0.4891657638136511,0.5108342361863488,-105.0,-115.0,fanduel,fanduel,-0.021051405121748967,0.021051405121748967,,,,0.0,0.0,0.0,,1.0,0.5671302866874822,0.4328697133125178,-144.0,122.0,fanduel,fanduel,,,0.04061438487668001,-0.03564817041042023,0.03564817041042018,-0.09943308075275609,0.04010970186492224,,,,0.0,0.0,0.0,,-1.5,1.5,0.349,0.651,0.39521097291642454,0.6047890270835755,142.0,-172.0,-0.04158987562478211,0.041589875624782,,,,0.0,0.0,0.0,
