game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,cumulative_batters,cumulative_pitchers,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,bankroll,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
778557,2025-03-27,NYY,MIL,New York Yankees,Milwaukee Brewers,0.5335134094143605,0.46648659058563946,9.4591,4.532938030681646,True,4,2,0.556,0.5110268188287209,9,9,607074,642547,2025,2360,2011,5.5,0.7974,0.2026,0.5418848167539267,0.4581151832460733,-138.0,104.0,fanduel,fanduel,0.07665455497382201,-0.07665455497382201,over,-138.0,0.07665455497382201,0.023030926178010527,178.57,129.4,1.0,7753.330000000014,,,,,,,,,,,,,,,,,,,,,
778556,2025-03-27,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,0.48877835462587976,0.5112216453741203,8.4185,4.17829603427043,False,2,12,0.5317000000000001,0.44585670925175946,9,9,621244,621107,2025,2360,2011,8.5,0.4566,0.5434,0.4850248160191682,0.5149751839808318,-104.0,-118.0,fanduel,fanduel,-0.007776860847818146,0.007776860847818146,,,,0.0,0.0,0.0,,7753.330000000014,0.911980203328182,0.5327882529617888,0.4672117470382112,-124.0,106.0,fanduel,fanduel,,,0.039008321775312105,-0.03612254042955143,0.03612254042955143,-0.10279742252240998,0.036868632183591044,,,,0.0,0.0,0.0,
778553,2025-03-27,TEX,BOS,Texas Rangers,Boston Red Sox,0.4919878974217651,0.5080121025782349,7.9343,4.086757089673913,False,2,5,0.4292,0.5547757948435301,9,9,543135,676979,2025,2360,2011,8.5,0.4036,0.5964,0.519280205655527,0.48071979434447304,-120.0,-102.0,fanduel,fanduel,-0.031567029026988325,0.031567029026988325,,,,0.0,0.0,0.0,,7753.330000000014,0.909606181054829,0.5371848068943506,0.46281519310564945,-132.0,104.0,fanduel,fanduel,,,0.05916159567275181,-0.03700024939875535,0.03700024939875535,-0.12088774743198416,0.01962350270898583,,,,0.0,0.0,0.0,
778555,2025-03-27,WSN,PHI,Washington Nationals,Philadelphia Phillies,0.38630060420987655,0.6136993957901234,8.877,4.327709671408192,False,3,7,0.3599,0.4127012084197531,9,9,669022,554430,2025,2360,2011,5.5,0.7589,0.2411,0.4111714507370054,0.5888285492629945,130.0,-165.0,consensus,consensus,0.0756187923832421,-0.0756187923832421,over,130.0,0.0756187923832421,0.02300337676472486,178.35,231.85,1.0,7753.330000000014,0.7248833660961016,0.5238589211618258,0.47614107883817425,-125.0,-102.0,fanduel,fanduel,,,0.060506050605060535,-0.08974236224397902,0.08974236224397902,-0.21859019394787588,0.12067112841759764,away,-102.0,0.08974236224397902,0.030771137746487397,238.58,233.9,1.0
778558,2025-03-27,KCR,CLE,Kansas City Royals,Cleveland Guardians,0.5081330453357416,0.49186695466425845,8.963,4.394750391091626,False,4,7,0.5243,0.49196609067148306,9,9,666142,594902,2025,2360,2011,9.5,0.3986,0.6014,0.5379072681704261,0.46209273182957394,-136.0,102.0,fanduel,fanduel,-0.025620456094218924,0.025620456094218924,,,,0.0,0.0,0.0,,7753.330000000014,0.6130442541561031,0.3146551724137931,0.6853448275862069,200.0,-265.0,fanduel,fanduel,,,0.05936073059360725,0.10674944847103068,-0.10674944847103063,0.26421386265447133,-0.20306674197343658,home,200.0,0.10674944847103068,0.033026732831808917,256.07,-256.07,0.0
778559,2025-03-27,HOU,NYM,Houston Astros,New York Mets,0.5034498089463084,0.4965501910536916,7.6227,4.140186554975512,True,3,1,0.494,0.5128996178926167,9,9,664285,605280,2025,2360,2011,8.0,0.405886825241664,0.594113174758336,0.5,0.5,-110.0,-110.0,consensus,consensus,-0.02823395242750082,0.02823395242750082,,,,0.0,0.0,0.0,,7753.330000000014,1.0,0.5427435387673957,0.4572564612326043,-130.0,110.0,fanduel,fanduel,,,0.04140786749482395,-0.03536435683897854,0.03536435683897854,-0.1023291396651082,0.03450371795032403,,,,0.0,0.0,0.0,
778561,2025-03-27,CIN,SFG,Cincinnati Reds,San Francisco Giants,0.49911245040860214,0.5008875495913978,9.5625,4.746735062124281,False,4,6,0.49150000000000005,0.5067249008172042,9,9,668881,657277,2025,2360,2011,6.5,0.7215,0.2785,0.600684540787222,0.3993154592127781,-180.0,134.0,fanduel,fanduel,0.016225387010802672,-0.016225387010802617,,,,0.0,0.0,0.0,,7753.330000000014,0.4476631030643953,0.7752808988764045,0.2247191011235955,-460.0,320.0,fanduel,fanduel,,,0.059523809523809534,-0.11126738214861831,0.11126738214861831,-0.19163571876617327,0.4111432297432981,,,,0.0,0.0,0.0,
778545,2025-03-27,SDP,ATL,San Diego Padres,Atlanta Braves,0.5161910048043395,0.48380899519566045,7.7094,4.064818770867897,True,7,4,0.4505,0.5818820096086791,9,9,650633,519242,2025,2360,2011,7.0,0.5212176077854476,0.47878239221455243,0.519280205655527,0.48071979434447304,-120.0,-102.0,fanduel,fanduel,0.00037878009106318,-0.0003787800910631245,,,,0.0,0.0,0.0,,7753.330000000014,0.6516975923813706,0.34203980099502485,0.6579601990049752,176.0,-230.0,fanduel,fanduel,,,0.059288537549407216,0.10214452820956299,-0.10214452820956299,0.2259487486046623,-0.20252534190223476,home,176.0,0.10214452820956299,0.0320949926995259,248.84,437.96,1.0
778554,2025-03-27,CWS,LAA,Chicago White Sox,Los Angeles Angels,0.5338430038874491,0.4661569961125509,7.0154,3.7633180625612814,True,8,1,0.5292,0.5384860077748982,9,9,680732,579328,2025,2360,2011,,,,,,,,,,,,,,,,,,,7753.330000000014,,,,,,,,,,,,,,,,,,,,,
778562,2025-03-27,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.45988326031091,0.54011673968909,7.049,3.8977941197554293,True,5,4,0.4067,0.5130665206218199,9,9,645261,694973,2025,2360,2011,7.5,0.3973,0.6027,0.4451682953311618,0.5548317046688382,110.0,-146.0,fanduel,fanduel,-0.01436048859934852,0.014360488599348575,,,,0.0,0.0,0.0,,7753.330000000014,1.0,0.4328697133125177,0.5671302866874823,122.0,-144.0,fanduel,fanduel,,,0.04061438487668001,0.024312192298553026,-0.02431219229855308,0.01494383045657699,-0.08022489561875878,,,,0.0,0.0,0.0,
