game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,cumulative_batters,cumulative_pitchers,bankroll,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
746418,2024-03-28,HOU,NYY,Houston Astros,New York Yankees,0.5905028408606638,0.40949715913933615,8.9543,4.520288874618524,False,4,5,0.6248,0.5562056817213277,9,9,664285,641482,2024,2551,1977,10000.0,11.5,0.2555,0.7445,0.4368658399098084,0.5631341600901917,116.0,-148.0,fanduel,fanduel,-0.05440975197294251,0.05440975197294251,,,,0.0,0.0,0.0,,1.0,0.5543606364172068,0.4456393635827932,-142.0,112.0,fanduel,fanduel,,,0.05847497271167956,0.03252798399911139,-0.03252798399911133,0.00019046577992248848,-0.12420387528259441,,,,0.0,0.0,0.0,
745039,2024-03-28,TEX,CHC,Texas Rangers,Chicago Cubs,0.549007311766657,0.45099268823334304,8.3519,4.219439108459797,True,4,3,0.5481,0.5499146235333139,9,9,543135,657006,2024,2551,1977,10000.0,8.5,0.4441,0.5559,0.48071979434447304,0.519280205655527,-102.0,-120.0,fanduel,fanduel,-0.010985938303341936,0.010985938303341936,,,,0.0,0.0,0.0,,1.0,0.5242214532871973,0.47577854671280273,-120.0,102.0,fanduel,fanduel,,,0.04050405040504046,0.022307272631513775,-0.02230727263151372,0.001969330850970341,-0.08398802635579622,,,,0.0,0.0,0.0,
745687,2024-03-28,OAK,CLE,Oakland Athletics,Cleveland Guardians,0.46246589827908235,0.5375341017209176,8.5503,4.308766634432643,False,0,8,0.4525,0.47243179655816475,9,9,622072,669456,2024,2551,1977,10000.0,7.5,0.5425,0.4575,0.47639484978540764,0.5236051502145922,100.0,-122.0,fanduel,fanduel,0.01983154506437773,-0.019831545064377676,,,,0.0,0.0,0.0,,1.0,0.42928940388105546,0.5707105961189445,124.0,-146.0,fanduel,fanduel,,,0.039924506387921,0.029858844958224218,-0.029858844958224107,0.028492077399986604,-0.08870184393467662,,,,0.0,0.0,0.0,
747224,2024-03-28,ARI,COL,Arizona Diamondbacks,Colorado Rockies,0.6560800976689721,0.34391990233102787,9.2712,4.464487715292764,True,16,1,0.6442,0.6679601953379443,9,9,668678,607536,2024,2551,1977,10000.0,8.5,0.531,0.469,0.5,0.5,-110.0,-110.0,fanduel,fanduel,0.009299999999999975,-0.00930000000000003,,,,0.0,0.0,0.0,,1.0,0.6613039796782388,0.33869602032176116,-220.0,184.0,fanduel,fanduel,,,0.039612676056338,-0.004701493808340063,0.004701493808340063,-0.04494183873469265,-0.024751059870512626,,,,0.0,0.0,0.0,
745283,2024-03-28,SEA,BOS,Seattle Mariners,Boston Red Sox,0.5698606676586273,0.4301393323413727,7.3828,3.9741998137989993,False,4,6,0.5232,0.6165213353172546,9,9,622491,678394,2024,2551,1977,10000.0,7.5,0.4287,0.5713,0.47639484978540764,0.5236051502145922,100.0,-122.0,fanduel,fanduel,-0.014308454935622272,0.014308454935622383,,,,0.0,0.0,0.0,,1.0,0.5823742190069057,0.41762578099309433,-154.0,130.0,fanduel,fanduel,,,0.041081821294077336,-0.011262196213450482,0.011262196213450537,-0.058036014353651855,-0.013557652424946887,,,,0.0,0.0,0.0,
745117,2024-03-29,TBR,TOR,Tampa Bay Rays,Toronto Blue Jays,0.4927015466521154,0.5072984533478846,7.9728,4.109897828413743,True,8,2,0.42900000000000005,0.5564030933042308,9,9,650644,605135,2024,2551,1977,9305.11,8.0,0.4443719412724307,0.5556280587275694,0.48071979434447304,0.519280205655527,-102.0,-120.0,fanduel,fanduel,-0.009813004535509595,0.009813004535509595,,,,0.0,0.0,0.0,,0.8999160157694395,0.5427435387673957,0.4572564612326043,-130.0,110.0,fanduel,fanduel,,,0.04140786749482395,-0.04053023114899379,0.040530231148993845,-0.11146876344436596,0.04535205400135611,,,,0.0,0.0,0.0,
746091,2024-03-29,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.5371444451418192,0.46285555485818075,8.8799,4.421411085841261,False,2,7,0.5368,0.5374888902836383,9,9,640462,527048,2024,2551,1977,9305.11,8.5,0.4932,0.5068,0.4850248160191682,0.5149751839808318,-104.0,-118.0,fanduel,fanduel,0.0024525551942495283,-0.0024525551942494728,,,,0.0,0.0,0.0,,1.0,0.5634920634920635,0.4365079365079365,-142.0,120.0,fanduel,fanduel,,,0.04132231404958686,-0.023712856515219816,0.023712856515219816,-0.08009459092678756,0.012485744650943986,,,,0.0,0.0,0.0,
746412,2024-03-29,HOU,NYY,Houston Astros,New York Yankees,0.5386035254327192,0.46139647456728083,9.8116,4.689062319910027,False,1,7,0.5528000000000001,0.5244070508654383,9,9,664299,607074,2024,2551,1977,9305.11,9.0,0.5300033523298693,0.4699966476701307,0.5149751839808318,0.4850248160191682,-118.0,-104.0,fanduel,fanduel,0.00450845050471127,-0.0045084505047112144,,,,0.0,0.0,0.0,,1.0,0.5327882529617888,0.4672117470382112,-124.0,106.0,fanduel,fanduel,,,0.039008321775312105,0.005233745223837349,-0.005233745223837349,-0.02808929360015927,-0.048325316262389784,,,,0.0,0.0,0.0,
747223,2024-03-29,ARI,COL,Arizona Diamondbacks,Colorado Rockies,0.6606470315026116,0.3393529684973884,9.6635,4.653436122909607,True,7,3,0.6366,0.6846940630052231,9,9,518876,615698,2024,2551,1977,9305.11,9.0,0.5182100821674439,0.4817899178325561,0.5108342361863488,0.4891657638136511,-115.0,-105.0,fanduel,fanduel,0.0022127537943285036,-0.0022127537943285036,,,,0.0,0.0,0.0,,1.0,0.6777862016679302,0.32221379833206976,-240.0,198.0,fanduel,fanduel,,,0.041452822739834305,-0.015425253148786733,0.015425253148786788,-0.061655322931213286,0.006164373412952395,,,,0.0,0.0,0.0,
745682,2024-03-29,OAK,CLE,Oakland Athletics,Cleveland Guardians,0.46981336072609076,0.5301866392739092,9.6206,4.5340330435496385,False,4,6,0.49420000000000003,0.4454267214521815,9,9,548389,671106,2024,2551,1977,9305.11,7.5,0.6393,0.3607,0.5108342361863488,0.4891657638136511,-115.0,-105.0,fanduel,fanduel,0.038539729144095314,-0.038539729144095314,,,,0.0,0.0,0.0,,1.0,0.4572564612326044,0.5427435387673956,110.0,-130.0,fanduel,fanduel,,,0.04140786749482395,0.011301209544137714,-0.011301209544137714,-0.016028891368841558,-0.05975587906654384,,,,0.0,0.0,0.0,
