game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,cumulative_batters,cumulative_pitchers,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
778557,2025-03-27,NYY,MIL,New York Yankees,Milwaukee Brewers,0.5280134094143605,0.4719865905856395,8.248,4.133823411806556,True,4,2,0.545,0.5110268188287209,9,9,607074,642547,2025,2360,2011,5.5,0.715,0.285,0.5418848167539267,0.4581151832460733,-138.0,104.0,fanduel,fanduel,0.051934554973821934,-0.05193455497382199,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
778556,2025-03-27,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,0.5084283546258798,0.49157164537412024,7.821,3.9705111761585563,False,2,12,0.5710000000000001,0.44585670925175946,9,9,621244,621107,2025,2360,2011,8.5,0.39,0.61,0.4850248160191682,0.5149751839808318,-104.0,-118.0,fanduel,fanduel,-0.02850744480575046,0.028507444805750515,,,,0.0,0.0,0.0,,1.0,0.5327882529617888,0.4672117470382112,-124.0,106.0,fanduel,fanduel,,,0.039008321775312105,-0.021923908502318068,0.021923908502318123,-0.07714828097644005,0.007619450413490436,,,,0.0,0.0,0.0,
778553,2025-03-27,TEX,BOS,Texas Rangers,Boston Red Sox,0.4868878974217651,0.5131121025782349,8.057,4.123317960089907,False,2,5,0.41900000000000004,0.5547757948435301,9,9,543135,676979,2025,2360,2011,8.5,0.421,0.579,0.519280205655527,0.48071979434447304,-120.0,-102.0,fanduel,fanduel,-0.026518147332576236,0.026518147332576236,,,,0.0,0.0,0.0,,0.8994061810548291,0.5371848068943506,0.46281519310564945,-132.0,104.0,fanduel,fanduel,,,0.05916159567275181,-0.04071361614083868,0.04071361614083868,-0.1274142707968579,0.02719877086283584,,,,0.0,0.0,0.0,
778555,2025-03-27,WSN,PHI,Washington Nationals,Philadelphia Phillies,0.40485060420987656,0.5951493957901235,8.287,4.13214605259785,False,3,7,0.397,0.4127012084197531,9,9,669022,554430,2025,2360,2011,5.5,0.72,0.28,0.4111714507370054,0.5888285492629945,130.0,-165.0,consensus,consensus,0.07059666525419767,-0.07059666525419772,over,130.0,0.07059666525419767,0.02078205130380134,415.64,540.33,1.0,0.7619833660961016,0.5238589211618258,0.47614107883817425,-125.0,-102.0,fanduel,fanduel,,,0.060506050605060535,-0.08161412215003017,0.08161412215003028,-0.20395936177876794,0.10457402548644434,away,-102.0,0.08161412215003028,0.026666376499043305,533.33,522.87,1.0
778558,2025-03-27,KCR,CLE,Kansas City Royals,Cleveland Guardians,0.5089830453357416,0.49101695466425843,7.643,3.9513986131495265,False,4,7,0.526,0.49196609067148306,9,9,666142,594902,2025,2360,2011,9.5,0.289,0.711,0.5379072681704261,0.46209273182957394,-136.0,102.0,fanduel,fanduel,-0.045650408464104675,0.045650408464104675,,,,0.0,0.0,0.0,,0.611344254156103,0.3146551724137931,0.6853448275862069,200.0,-265.0,fanduel,fanduel,,,0.05936073059360725,0.1069211056798895,-0.10692110567988944,0.26472883428104776,-0.20330317548752513,home,200.0,0.1069211056798895,0.03309110428513097,661.82,-661.82,0.0
778559,2025-03-27,HOU,NYM,Houston Astros,New York Mets,0.5064498089463083,0.4935501910536917,7.614,4.10524104042625,True,3,1,0.5,0.5128996178926167,9,9,664285,605280,2025,2360,2011,8.0,0.41113490364025695,0.588865096359743,0.5,0.5,-110.0,-110.0,consensus,consensus,-0.02665952890792289,0.02665952890792289,,,,0.0,0.0,0.0,,1.0,0.5427435387673957,0.4572564612326043,-130.0,110.0,fanduel,fanduel,,,0.04140786749482395,-0.032664356838978614,0.032664356838978614,-0.09755221658818525,0.02883371795032419,,,,0.0,0.0,0.0,
778561,2025-03-27,CIN,SFG,Cincinnati Reds,San Francisco Giants,0.4898624504086021,0.5101375495913979,8.948,4.432978231392525,False,4,6,0.47300000000000003,0.5067249008172042,9,9,668881,657277,2025,2360,2011,6.5,0.689,0.311,0.600684540787222,0.3993154592127781,-180.0,134.0,fanduel,fanduel,0.01137052095729385,-0.01137052095729385,,,,0.0,0.0,0.0,,0.4291631030643952,0.7752808988764045,0.2247191011235955,-460.0,320.0,fanduel,fanduel,,,0.059523809523809534,-0.11024196031464051,0.11024196031464051,-0.1903873791422003,0.4068364580405913,,,,0.0,0.0,0.0,
778545,2025-03-27,SDP,ATL,San Diego Padres,Atlanta Braves,0.5229410048043396,0.4770589951956604,7.554,4.114010695173264,True,7,4,0.464,0.5818820096086791,9,9,650633,519242,2025,2360,2011,7.0,0.4925883694412771,0.507411630558723,0.519280205655527,0.48071979434447304,-120.0,-102.0,fanduel,fanduel,-0.0051103996824516384,0.0051103996824516384,,,,0.0,0.0,0.0,,0.6381975923813705,0.34203980099502485,0.6579601990049752,176.0,-230.0,fanduel,fanduel,,,0.059288537549407216,0.10390564145699666,-0.10390564145699666,0.2308094211675793,-0.20505215656159612,home,176.0,0.10390564145699666,0.03278542914312206,655.71,1154.05,1.0
778554,2025-03-27,CWS,LAA,Chicago White Sox,Los Angeles Angels,0.528243003887449,0.47175699611255095,7.345,3.7992071541309773,True,8,1,0.518,0.5384860077748982,9,9,680732,579328,2025,2360,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778562,2025-03-27,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.46903326031090997,0.53096673968909,6.647,3.5811158875412006,True,5,4,0.42500000000000004,0.5130665206218199,9,9,645261,694973,2025,2360,2011,7.5,0.357,0.643,0.4451682953311618,0.5548317046688382,110.0,-146.0,fanduel,fanduel,-0.026450488599348565,0.02645048859934851,,,,0.0,0.0,0.0,,1.0,0.4328697133125177,0.5671302866874823,122.0,-144.0,fanduel,fanduel,,,0.04061438487668001,0.03254719229855302,-0.032547192298553074,0.033225530456576946,-0.09417864561875877,,,,0.0,0.0,0.0,
778551,2025-03-27,STL,MIN,St. Louis Cardinals,Minnesota Twins,0.6036541011086186,0.3963458988913814,7.663,3.8842542398766846,True,5,3,0.54,0.6673082022172372,9,9,543243,641154,2025,2360,2011,7.5,0.462,0.538,0.48071979434447304,0.519280205655527,-102.0,-120.0,fanduel,fanduel,-0.004351638053445905,0.004351638053445961,,,,0.0,0.0,0.0,,0.7748728384099902,0.4910905203136137,0.5089094796863862,-104.0,-112.0,fanduel,fanduel,,,0.03810580836108013,0.07850021521699596,-0.0785002152169959,0.11727413507927287,-0.1852967493972255,home,-104.0,0.07850021521699596,0.03049127512061094,609.83,586.38,1.0
778546,2025-03-27,LAD,DET,Los Angeles Dodgers,Detroit Tigers,0.5918266921477388,0.40817330785226125,5.887,3.3663379212432014,True,5,4,0.603,0.5806533842954775,9,9,605483,669373,2025,2360,2011,6.5,0.399,0.601,0.5279042320013488,0.47209576799865116,-124.0,102.0,fanduel,fanduel,-0.03867126960040462,0.03867126960040468,,,,0.0,0.0,0.0,,1.0,0.593369754159424,0.40663024584057605,-162.0,136.0,fanduel,fanduel,,,0.042049424246344946,-0.001388755810516673,0.001388755810516673,-0.04259863229991534,-0.03707515610342105,,,,0.0,0.0,0.0,
778552,2025-03-27,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,0.5476041746601017,0.4523958253398983,8.358,4.254390203072586,False,6,10,0.531,0.5642083493202033,9,9,668678,657006,2025,2360,2011,8.5,0.439,0.561,0.4850248160191682,0.5149751839808318,-104.0,-118.0,fanduel,fanduel,-0.013807444805750468,0.013807444805750468,,,,0.0,0.0,0.0,,1.0,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,0.009578718675815834,-0.009578718675815834,-0.01969832377609143,-0.05680293497682287,,,,0.0,0.0,0.0,
778547,2025-03-27,SEA,Athletics,Seattle Mariners,Athletics,0.5932782654113244,0.40672173458867555,7.047,3.6535997317713935,True,4,2,0.609,0.5775565308226489,9,9,669302,622663,2025,2360,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778560,2025-03-28,TBR,COL,Tampa Bay Rays,Colorado Rockies,0.6208005732662072,0.3791994267337928,7.956,4.092439859057186,True,3,2,0.644,0.5976011465324143,9,9,686752,607536,2025,2360,2011,8.5,0.41,0.59,0.5108342361863488,0.4891657638136511,-115.0,-105.0,fanduel,fanduel,-0.03025027085590465,0.03025027085590465,,,,0.0,0.0,0.0,,1.0,0.6955128205128205,0.3044871794871795,-280.0,210.0,fanduel,fanduel,,,0.05942275042444822,-0.06724102252195197,0.06724102252195197,-0.14734541701239268,0.1523574262283076,,,,0.0,0.0,0.0,
778549,2025-03-28,TOR,BAL,Toronto Blue Jays,Baltimore Orioles,0.5203271531293825,0.4796728468706175,8.56,4.184781953698424,True,8,2,0.62,0.420654306258765,9,9,592332,450203,2025,2360,2011,8.5,0.462,0.538,0.5043297540699688,0.4956702459300312,-112.0,-108.0,fanduel,fanduel,-0.01269892622099067,0.01269892622099067,,,,0.0,0.0,0.0,,1.0,0.5369611539091952,0.4630388460908048,-126.0,108.0,fanduel,fanduel,,,0.038291354663036126,-0.014970600701831427,0.014970600701831427,-0.06373122996139524,-0.005740350671316619,,,,0.0,0.0,0.0,
778548,2025-03-28,MIA,PIT,Miami Marlins,Pittsburgh Pirates,0.520003661930508,0.47999633806949205,7.617,3.9204988203033553,False,3,4,0.499,0.5410073238610158,9,9,687362,656605,2025,2360,2011,8.0,0.41124586549062847,0.5887541345093715,0.5149751839808318,0.4850248160191682,-118.0,-104.0,fanduel,fanduel,-0.02569578848255827,0.025695788482558324,,,,0.0,0.0,0.0,,0.8257321027640195,0.4328697133125177,0.5671302866874823,122.0,-144.0,fanduel,fanduel,,,0.04061438487668001,0.0647543687530186,-0.06475436875301865,0.1047254621854905,-0.14875191683326988,,,,0.0,0.0,0.0,
778550,2025-03-28,TEX,BOS,Texas Rangers,Boston Red Sox,0.43402235888107465,0.5659776411189253,9.792,4.36081827183844,True,4,1,0.34500000000000003,0.5230447177621492,9,9,683004,656557,2025,2360,2011,9.0,0.5297418630751964,0.4702581369248036,0.5,0.5,-110.0,-110.0,fanduel,fanduel,0.008922558922558887,-0.008922558922558887,,,,0.0,0.0,0.0,,1.0,0.4846032025338729,0.5153967974661271,-102.0,-116.0,fanduel,fanduel,,,0.041987532086542156,-0.04552275928751842,0.04552275928751848,-0.13044853396310196,0.04447089878265037,,,,0.0,0.0,0.0,
778518,2025-03-28,HOU,NYM,Houston Astros,New York Mets,0.5309254854852866,0.4690745145147134,8.816,4.372658687800821,False,1,3,0.521,0.5408509709705732,9,9,686613,656731,2025,2360,2011,8.0,0.5178764897074756,0.48212351029252437,0.519280205655527,0.48071979434447304,-120.0,-102.0,fanduel,fanduel,-0.0004211147844154217,0.0004211147844154217,,,,0.0,0.0,0.0,,1.0,0.5198237885462554,0.48017621145374456,-118.0,100.0,fanduel,fanduel,,,0.041284403669724856,0.009991527245128085,-0.009991527245128085,-0.021188653876935526,-0.059630631582767046,,,,0.0,0.0,0.0,
778543,2025-03-28,ARI,CHC,Arizona Diamondbacks,Chicago Cubs,0.518521208453682,0.481478791546318,8.929,4.361187796919551,True,8,1,0.505,0.532042416907364,9,9,518876,592791,2025,2360,2011,9.0,0.443701226309922,0.5562987736900781,0.4891657638136511,0.5108342361863488,-105.0,-115.0,fanduel,fanduel,-0.013639361251118753,0.013639361251118753,,,,0.0,0.0,0.0,,1.0,0.5671302866874822,0.4328697133125178,-144.0,122.0,fanduel,fanduel,,,0.04061438487668001,-0.04374817041042023,0.04374817041042023,-0.11315808075275607,0.058091701864922296,,,,0.0,0.0,0.0,
778541,2025-03-28,SEA,Athletics,Seattle Mariners,Athletics,0.5750465641681584,0.42495343583184164,7.671,3.992588007796447,False,0,7,0.549,0.6010931283363168,9,9,622491,605488,2025,2360,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778542,2025-03-28,SDP,ATL,San Diego Padres,Atlanta Braves,0.547052161099824,0.452947838900176,7.416,4.037690428945735,True,4,3,0.48900000000000005,0.6051043221996479,9,9,656302,625643,2025,2360,2011,7.0,0.4769921436588103,0.5230078563411896,0.5108342361863488,0.4891657638136511,-115.0,-105.0,fanduel,fanduel,-0.010152627758261534,0.010152627758261534,,,,0.0,0.0,0.0,,1.0,0.5583104446588969,0.4416895553411031,-138.0,118.0,fanduel,fanduel,,,0.03854752910338455,-0.010132455203165636,0.01013245520316558,-0.05459158340243442,-0.015028017013494321,,,,0.0,0.0,0.0,
778544,2025-03-28,LAD,DET,Los Angeles Dodgers,Detroit Tigers,0.6289825764977405,0.3710174235022595,6.919,3.770999734818341,True,8,5,0.654,0.6039651529954809,9,9,808967,656427,2025,2360,2011,7.5,0.382,0.618,0.47639484978540764,0.5236051502145922,100.0,-122.0,fanduel,fanduel,-0.028318454935622295,0.02831845493562235,,,,0.0,0.0,0.0,,1.0,0.6515287769784173,0.34847122302158273,-210.0,176.0,fanduel,fanduel,,,0.03973819541841972,-0.020291580432609146,0.02029158043260909,-0.06817366224190224,0.017785337533569368,,,,0.0,0.0,0.0,
