game_id,date,home_team,away_team,home_name,away_name,model_home_win_prob,model_away_win_prob,avg_total_runs,std_total_runs,actual_home_win,actual_home_score,actual_away_score,sim_home_prob,elo_home_prob,home_real_profiles,away_real_profiles,home_starter_id,away_starter_id,year,total_line,model_over_prob,model_under_prob,market_over_nv_prob,market_under_nv_prob,best_over_odds,best_under_odds,best_over_book,best_under_book,over_edge,under_edge,totals_bet_side,totals_bet_odds,totals_bet_edge,totals_bet_fraction,totals_bet_stake,totals_bet_profit,totals_bet_won,confidence,market_home_nv_prob,market_away_nv_prob,best_home_odds,best_away_odds,best_home_book,best_away_book,pinnacle_home,pinnacle_away,vig,home_edge,away_edge,home_ev,away_ev,bet_side,bet_odds,bet_edge,bet_fraction,bet_stake,bet_profit,bet_won
634604,2021-04-03,KCR,TEX,Kansas City Royals,Texas Rangers,0.667,0.33299999999999996,9.919,4.621735496542398,True,11,4,0.667,,9,9,501985,685503,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634643,2021-04-03,CHC,PIT,Chicago Cubs,Pittsburgh Pirates,0.41700000000000004,0.583,11.154,5.049186469125496,True,5,1,0.41700000000000004,,8,8,453562,542881,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634580,2021-04-03,PHI,ATL,Philadelphia Phillies,Atlanta Braves,0.504,0.496,8.551,4.4720687606520535,True,4,0,0.504,,9,9,554430,450203,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634629,2021-04-03,OAK,HOU,Oakland Athletics,Houston Astros,0.36200000000000004,0.6379999999999999,9.879,4.792531585707078,False,1,9,0.36200000000000004,,9,9,608344,621121,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634654,2021-04-03,CIN,STL,Cincinnati Reds,St. Louis Cardinals,0.556,0.44399999999999995,11.367,5.2729793286148965,True,9,6,0.556,,9,9,641816,425794,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634596,2021-04-03,MIA,TBR,Miami Marlins,Tampa Bay Rays,0.595,0.405,9.564,4.528344509862296,True,12,7,0.595,,8,8,622694,448179,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634575,2021-04-03,MIL,MIN,Milwaukee Brewers,Minnesota Twins,0.634,0.366,7.132,3.985044039907213,False,0,2,0.634,,9,8,669203,621244,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634633,2021-04-03,COL,LAD,Colorado Rockies,Los Angeles Dodgers,0.314,0.6859999999999999,10.922,5.252991147908018,False,5,6,0.314,,9,9,592351,621111,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634623,2021-04-03,SDP,ARI,San Diego Padres,Arizona Diamondbacks,0.605,0.395,9.698,4.474683899450329,True,7,0,0.605,,9,8,605397,592761,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634646,2021-04-03,LAA,CWS,Los Angeles Angels,Chicago White Sox,0.444,0.556,8.59,4.696370939353066,True,5,3,0.444,,8,9,502171,458681,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634639,2021-04-03,SEA,SFG,Seattle Mariners,San Francisco Giants,0.42800000000000005,0.572,6.771,3.792961771492035,True,4,0,0.42800000000000005,,9,9,623167,657277,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634617,2021-04-04,PHI,ATL,Philadelphia Phillies,Atlanta Braves,0.41600000000000004,0.584,11.407,5.240548730810543,True,2,1,0.41600000000000004,,7,8,621107,666120,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634607,2021-04-04,NYY,TOR,New York Yankees,Toronto Blue Jays,0.55,0.44999999999999996,12.304,5.2567655454661475,False,1,3,0.55,,9,9,593334,643615,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
